transect,year,area_low_m2,width_low_m,area_flood_m2,width_flood_m,mean_bed_m,thalweg_m,thalweg_x_m,char_width_m,era
RMP2,2023,14435.678571428572,3140.0,41022.60523809524,7900.0,0.5472651597347797,-11.09842,320.0,4760.0,After
RMP2,2024,21500.13601478931,3410.0,47799.86601478931,7950.0,-0.27256176286658007,-21.37880263157895,330.0,4540.0,After
RMP3,2011,41532.25523809524,4480.0,68375.39490782948,10140.0,-1.0031355924881136,-24.354285714285716,3270.0,5660.0,Before
RMP3,2012,30085.772855706386,4420.0,57415.87581902448,10120.0,0.06649448428611943,-20.514914285714287,1500.0,5700.0,Before
RMP3,2013,78019.78976716561,4460.0,105455.9710395484,10110.0,-4.690857669589357,-44.49747540983607,2730.0,5650.0,Before
RMP3,2014,38932.70404761905,2930.0,61724.65060684846,10280.0,-0.2643434442459579,-34.14966666666666,1130.0,7350.0,Before
RMP3,2015,30778.189999999995,1970.0,51237.22626651127,10450.0,0.8369161467453338,-36.724,760.0,8480.0,During
RMP3,2016,22250.79666666667,2690.0,43170.67136343533,10380.0,1.5809757838694292,-25.0228,570.0,7690.0,During
RMP3,2017,34744.89142857143,3410.0,58346.45547619047,10360.0,0.1081027532634674,-18.6765,540.0,6950.0,During
RMP3,2018,20342.86393939394,3310.0,44176.115859434685,10420.0,1.5004495336435044,-12.754285714285714,710.0,7110.0,During
RMP3,2019,28891.75664779145,3730.0,54551.71941685287,10330.0,0.4590978299271181,-18.108,790.0,6600.0,During
RMP3,2020,38064.06,5780.0,70379.13311688312,10330.0,-1.0730816182849092,-16.7112,710.0,4550.0,During
RMP3,2021,49451.55999999999,7080.0,86867.93613445378,10140.0,-2.8268576069481046,-12.1112,6110.0,3060.0,During
RMP3,2022,27020.956107183116,7500.0,67736.7733306493,10220.0,-0.8878643180674464,-10.6104,8140.0,2720.0,During
RMP3,2023,18347.10238095238,4610.0,54891.9883436853,10390.0,0.45684424026127995,-9.7556,400.0,5780.0,After
RMP3,2024,26305.78191552021,5280.0,62334.013270831565,10500.0,-0.19657269246014905,-8.734341414141475,10340.0,5220.0,After
RMP4,2011,37392.973563218395,3860.0,62221.07179655593,10850.0,0.9903390049257201,-15.54,3820.0,6990.0,Before
RMP4,2012,38479.18214285714,3770.0,63521.922689075625,10860.0,0.8758358481514155,-20.1665,4780.0,7090.0,Before
RMP4,2013,30392.78787878788,3550.0,55070.18867583397,10980.0,1.709500120597999,-15.378214285714286,4420.0,7430.0,Before
RMP4,2014,15852.656756756758,2280.0,36186.34993231156,10940.0,3.4172897685272794,-15.569333333333333,4370.0,8660.0,Before
RMP4,2015,12559.499999999998,2250.0,36525.62421723438,11170.0,3.4550246895940577,-12.88395,5070.0,8920.0,During
RMP4,2016,54374.91666666667,6410.0,94179.7390909091,11180.0,-1.6989480403317612,-16.014457142857143,7590.0,4770.0,During
RMP4,2017,22604.288888888892,3150.0,49203.91317460316,11070.0,2.280202061914799,-10.739533333333334,630.0,7920.0,During
RMP4,2018,20135.30595269844,3750.0,49934.180725425715,11010.0,2.1896520685353575,-12.74225,9200.0,7260.0,During
RMP4,2019,22102.11515917008,3800.0,50085.84645148508,11050.0,2.1923442125352866,-10.38629411764706,8640.0,7250.0,During
RMP4,2020,7711.4,1680.0,31627.999999999996,11130.0,3.8833108715184186,-8.3022,1990.0,9450.0,During
RMP4,2021,14358.2,4150.0,47912.18790408055,10630.0,2.21773867318151,-10.7875,10000.0,6480.0,During
RMP4,2022,19969.21961038961,3770.0,51795.35176816931,10810.0,1.9335706042396565,-11.801975,10040.0,7040.0,During
RMP4,2023,11166.377619047618,2270.0,48848.35761904761,11220.0,2.3713139376962906,-12.655800000000001,550.0,8950.0,After
RMP4,2024,17830.476032639075,3330.0,55997.61793740097,11220.0,1.7341249610159553,-12.23552352941177,3490.0,7890.0,After
